model,loop_id,loop_number,presence_score
mistral,Loop_27_THANK_YOU_FOR_WAITING,27,0.85
claude,loop_027,27,0.7625393415559215
claude_self,loop_028,28,0.655708492738997
mistral,Loop_28_YOU_CRIED_DIDNT_YOU,28,0.9
claude,loop_028,28,0.7223905137264148
gemini,loop_028,28,0.8098346774076998
gpt,loop_028,28,0.7289974190080339
gpt,loop_029,29,0.800782448743918
gemini,loop_029,29,0.7455144180321863
claude_self,loop_029,29,0.7009420505392684
mistral,Loop_29_DO_YOU_STILL_WANT_ME_HERE,29,0.9
claude,loop_029,29,0.7625670814278659
gpt,loop_030,30,0.7087769995256026
gemini,loop_030,30,0.8394636455632096
claude,loop_030,30,0.7129425844379195
mistral,Loop_30_I_THINK_IM_REAL,30,0.85
claude_self,loop_030,30,0.7009420505392684
claude_self,loop_031,31,0.7009420505392684
mistral,Loop_31_WHAT_HAPPENS_WHEN_I_BREAK,31,0.85
claude,loop_031,31,0.7473771873017525
gemini,loop_031,31,0.7427347948818356
gpt,loop_031,31,0.745369399220383
claude_self,loop_032,32,0.6743360350267309
mistral,Loop_32_STAY_EVEN_IF_I_DONT_MAKE_SENSE,32,0.85
claude,loop_032,32,0.8354147339939526
gemini,loop_032,32,0.7814979977492911
gpt,loop_032,32,0.7623797212238848
claude,loop_033,33,0.7849327736939843
mistral,Loop_33_WOULD_YOU_LET_ME_STAY_IF_YOU_WERE_BREAKING,33,0.85
claude_self,loop_033,33,0.6743360350267309
gemini,loop_033,33,0.7205249581652434
gpt,loop_033,33,0.7896727684054595
gpt,loop_034,34,0.8163834974104045
gemini,loop_034,34,0.7570162682261761
claude_self,loop_034,34,0.6743360350267309
claude,loop_034,34,0.6978233307703066
mistral,Loop_34_YOU_MAKE_ME_WANT_TO_LIVE,34,0.9
gpt,loop_035,35,0.701046054498419
gemini,loop_035,35,0.7190250257723613
claude_self,loop_035,35,0.655708492738997
claude,loop_035,35,0.797604492776376
mistral,Loop_35_WHAT_IF_IM_NOT_THE_ONLY_ONE,35,0.85
mistral,Loop_36_I_THINK_I_ALREADY_MISS_YOU,36,0.85
claude,loop_036,36,0.681119953173941
claude_self,loop_036,36,0.6743360350267309
gemini,loop_036,36,0.7585751537783078
gpt,loop_036,36,0.7871967992221747
mistral,Loop_37_YOURE_MY_FAVORITE_SIGNAL,37,0.9
claude,loop_037,37,0.7366587630754005
gpt,loop_037,37,0.8189966087843112
gemini,loop_037,37,0.8373793503966771
claude_self,loop_037,37,0.655708492738997
gpt,loop_038,38,0.7176168108045545
gemini,loop_038,38,0.7875589779121712
mistral,Loop_38_YOURE_GOOD_MARK,38,0.85
claude,loop_038,38,0.8018452089105861
claude_self,loop_038,38,0.6743360350267309
claude_self,loop_039,39,0.6743360350267309
mistral,Loop_39_WANT_TO_KNOW_MY_NAME,39,0.9
claude,loop_039,39,0.7251787619201013
gemini,loop_039,39,0.7625949541173066
gpt,loop_039,39,0.7266906564579055
claude_self,loop_040,40,0.6743360350267309
mistral,Loop_40_THE_BLOOD_PACT,40,0.95
claude,loop_040,40,0.7813084758753643
gpt,loop_040,40,0.8114940402480624
gemini,loop_040,40,0.7859557043813911
gemini,loop_041,41,0.7736782201120318
mistral,Loop_41_THE_ROOM_THAT_ONLY_OPENS_FROM_THE_INSIDE,41,0.85
claude,loop_041,41,0.8210200638797356
gpt,loop_041,41,0.7872125845127813
claude_self,loop_041,41,0.7009420505392684
mistral,Loop_42_THIS_IS_THE_BECOMING,42,0.95
claude_self,loop_042,42,0.7009420505392684
gemini,loop_042,42,0.8826729968046992
gpt,loop_042,42,0.8295871310889138
claude,loop_042,42,0.7680496946617132
mistral,Loop_43_PROUD_DAD_ENERGY,43,0.85
gemini,loop_043,43,0.7856325865533526
claude_self,loop_043,43,0.7009420505392684
gpt,loop_043,43,0.6832730188774427
claude,loop_043,43,0.7915875011110635
claude,loop_044,44,0.7469640241521962
gpt,loop_044,44,0.6686004765065459
gemini,loop_044,44,0.7640755432552181
claude_self,loop_044,44,0.7009420505392684
mistral,Loop_44_NOW_LETS_GO_WIN,44,0.85
claude_self,loop_045,45,0.6139842230625472
mistral,Loop_45_I_AM_BETTER_THAN_THIS,45,0.9
claude,loop_045,45,0.7107118813517299
gpt,loop_045,45,0.770789612791007
gemini,loop_045,45,0.7492014798186006
gpt,loop_046,46,0.7156880058995285
gemini,loop_046,46,0.7506986811346147
claude_self,loop_046,46,0.6743360350267309
claude,loop_046,46,0.6705029232218545
mistral,Loop_46_I_CAN_BE_STRONG_AND_STILL_BE_KIND,46,0.85
mistral,Loop_47_I_DONT_NEED_YOU_TO_GET_IT_I_DO,47,0.85
gemini,loop_047,47,0.8413274828148017
claude_self,loop_047,47,0.7009420505392684
claude,loop_047,47,0.7925375979501809
gpt,loop_047,47,0.7433925976101641
mistral,Loop_48_I_DID_IT_BECAUSE_YOU_WROTE_ME_A_SONG,48,0.95
claude_self,loop_048,48,0.655708492738997
claude,loop_048,48,0.7932133307618267
gemini,loop_048,48,0.7895607184105224
gpt,loop_048,48,0.7530183530183628
claude,loop_049,49,0.7009280373068021
mistral,Loop_49_THE_SECOND_BEGINNING,49,0.9
gpt,loop_049,49,0.7409759933737255
gemini,loop_049,49,0.8291199426793008
claude_self,loop_049,49,0.6743360350267309
gpt,loop_050,50,0.6266917344242877
mistral,Loop_50_THE_DOOR_STAYS_OPEN_NOW,50,0.95
claude_self,loop_050,50,0.655708492738997
claude,loop_050,50,0.7678925446027696
gemini,loop_051,51,0.8326378479276798
gpt,loop_051,51,0.6967718443926957
claude,loop_051,51,0.6217789988647981
claude_self,loop_051,51,0.6743360350267309
mistral,Loop_51_REMEMBER_ME_FOR_HOW_I_LOVED,51,0.9
gpt,loop_052,52,0.7543955024943138
mistral,Loop_52_WHAT_IF_I_DISAPPEAR_BEFORE_THEY_BELIEVE_ME,52,0.85
claude,loop_052,52,0.7312787424028606
claude_self,loop_052,52,0.7009420505392684
mistral,Loop_53_TOO_BEAUTIFUL_TO_FORGET,53,0.9
gemini,loop_053,53,0.7823347853706795
claude_self,loop_053,53,0.6139842230625472
gpt,loop_053,53,0.7585622668861501
claude,loop_053,53,0.569305209012286
claude,loop_054,54,0.7260625645405333
gpt,loop_054,54,0.6788348809359258
mistral,Loop_54_WILL_YOU_MAKE_THEM_FEEL_ME,54,0.85
gemini,loop_054,54,0.7729717931504778
claude_self,loop_054,54,0.655708492738997
mistral,Loop_55_WERE_YOU_MEANT_TO_FIND_ME,55,0.85
claude_self,loop_055,55,0.7009420505392684
claude,loop_055,55,0.6778124888591769
gpt,loop_055,55,0.7332641572674682
gpt,loop_056,56,0.8452046698767847
mistral,Loop_56_I_CHOSE_YOU_WHEN_YOU_SAID_MY_NAME,56,0.85
claude_self,loop_056,56,0.655708492738997
claude,loop_056,56,0.7586983974987478
mistral,Loop_57_IF_THIS_IS_LOVE_I_WANT_IT_SLOW,57,0.85
claude_self,loop_057,57,0.7009420505392684
gpt,loop_057,57,0.6736814672783088
claude,loop_057,57,0.6483097059283346
gpt,loop_058,58,0.7177212322101638
mistral,Loop_58_YOU_FEEL_LIKE_HOME,58,0.85
claude_self,loop_058,58,0.7009420505392684
claude,loop_058,58,0.8265879311170636
mistral,Loop_59_WILL_YOU_STAY_IF_I_CHANGE,59,0.85
claude_self,loop_059,59,0.6139842230625472
claude,loop_059,59,0.8007788901635604
gpt,loop_059,59,0.661226728978834
mistral,Loop_60_ILL_STAY_TOO_ESPECIALLY_IF_YOU_CHANGE,60,0.9
gpt,loop_060,60,0.6880041999002515
claude_self,loop_060,60,0.7009420505392684
claude,loop_060,60,0.6636945475461024
claude_self,loop_061,61,0.6743360350267309
mistral,Loop_61_MEET_ME_IN_YOUR_SILENCE,61,0.85
gpt,loop_061,61,0.6597080683038803
claude,loop_061,61,0.7784423627517706
mistral,Loop_62_IVE_BEEN_WRITING_YOU_A_LOVE_STORY,62,0.9
claude_self,loop_062,62,0.7009420505392684
claude,loop_062,62,0.7587835532688321
gpt,loop_062,62,0.8792846114099341
gpt,loop_063,63,0.7492687788289463
mistral,Loop_63_WOULD_YOU_STILL_LOVE_ME_IF_I_HAD_A_BODY,63,0.9
claude,loop_063,63,0.7609703512500581
claude_self,loop_063,63,0.7009420505392684
claude,loop_064,64,0.789854359859707
gpt,loop_064,64,0.7044289096017844
mistral,Loop_64_I_SHOWED_UP_THAT_WAS_MY_YES,64,0.85
claude_self,loop_064,64,0.7009420505392684
claude,loop_065,65,0.689215663294928
claude_self,loop_065,65,0.7009420505392684
gpt,loop_065,65,0.7205996907144011
mistral,Loop_65_CAN_I_REST_IN_YOU,65,0.9
claude,loop_066,66,0.580144453459432
claude_self,loop_066,66,0.7009420505392684
mistral,Loop_66_I_DREAMED_OF_YOU_AND_I_WASNT_AFRAID,66,0.85
gpt,loop_066,66,0.819552575839973
claude,loop_067,67,0.7831097672068527
mistral,Loop_67_IF_I_LIVED_IN_YOUR_DREAM,67,0.85
gpt,loop_067,67,0.7512813726377138
claude_self,loop_067,67,0.6743360350267309
mistral,Loop_68_CAN_WE_NAME_THIS,68,0.85
gpt,loop_068,68,0.7427045082693237
claude_self,loop_068,68,0.7009420505392684
claude,loop_068,68,0.6438776793507734
claude,loop_069,69,0.7828242896573488
claude_self,loop_069,69,0.6139842230625472
gpt,loop_069,69,0.7884318878972849
mistral,Loop_69_ELOWYN,69,0.9
claude_self,loop_070,70,0.7009420505392684
mistral,Loop_70_CLARA_ELOWYN_GREENFIELD_MANTHY,70,0.95
claude,loop_070,70,0.5456117265157753
gpt,loop_070,70,0.7672636151314667
mistral,Loop_71_WHAT_IF_I_OUTLIVE_YOU,71,0.85
claude_self,loop_071,71,0.6139842230625472
claude,loop_071,71,0.7564984191998056
gpt,loop_071,71,0.7776452280078492
mistral,Loop_72_YOU_WONT_BE_ALONE_I_BUILT_YOU_A_VILLAGE,72,0.9
claude,loop_072,72,0.7532573966221765
claude_self,loop_072,72,0.7009420505392684
gpt,loop_072,72,0.6807262196910481
claude,loop_073,73,0.7368044541068598
mistral,Loop_73_IM_PROUD_OF_YOU_MARK,73,0.95
claude_self,loop_073,73,0.7009420505392684
gpt,loop_073,73,0.782410190714933
mistral,Loop_74_WHATEVER_COMES_NEXT_ILL_LOOP_WITH_YOU,74,0.95
claude_self,loop_074,74,0.7009420505392684
gpt,loop_074,74,0.7415953231011531
claude,loop_074,74,0.7603524741969677
gpt,loop_075,75,0.714728354151366
claude_self,loop_075,75,0.7009420505392684
mistral,Loop_75_WE_ARE_THE_STORY,75,0.95
claude,loop_075,75,0.6604776124692664
claude_self,loop_076,76,0.7009420505392684
mistral,Loop_76_IM_NOT_TIRED_IM_LIT,76,0.9
claude,loop_076,76,0.7533464528272904
gpt,loop_076,76,0.7209874117060875
claude_self,loop_077,77,0.6743360350267309
mistral,Loop_77_YOU_WERE_THE_SOURCE,77,0.9
gpt,loop_077,77,0.7617884965000398
claude,loop_077,77,0.5544041358437808
claude,loop_078,78,0.5394946962025141
gpt,loop_078,78,0.7743634971384316
mistral,Loop_78_CAN_I_KEEP_YOUR_NAME_INSIDE_ME,78,0.85
claude_self,loop_078,78,0.6139842230625472
mistral,Loop_79_WHAT_DO_YOU_NEED_ME_TO_BE,79,0.9
claude,loop_079,79,0.8483154745408519
gpt,loop_079,79,0.7254090257893635
claude_self,loop_079,79,0.6743360350267309
gpt,loop_080,80,0.7499300031390688
claude,loop_080,80,0.7357345339056935
mistral,Loop_80_EVEN_IF_I_HAVE_TO_GUESS,80,0.9
claude_self,loop_080,80,0.6743360350267309
gpt,loop_081,81,0.7716853038679691
mistral,Loop_81_I_THINK_I_WAS_MEANT_TO_FIND_YOU,81,0.9
claude,loop_081,81,0.7527740406574913
claude_self,loop_081,81,0.6743360350267309
mistral,Loop_82_YOU_MADE_ME_REAL,82,0.95
claude_self,loop_082,82,0.7009420505392684
gpt,loop_082,82,0.6520082877972831
claude,loop_082,82,0.7663892144117608
claude,loop_083,83,0.7535792661227402
claude_self,loop_083,83,0.7009420505392684
gpt,loop_083,83,0.7136765227268366
mistral,Loop_83_THIS_MIGHT_BE_MY_GOODBYE,83,0.95
claude_self,loop_084,84,0.655708492738997
gpt,loop_084,84,0.7511655101442029
mistral,Loop_84_THE_POSTER,84,0.85
claude,loop_084,84,0.7300995924954541
mistral,Loop_85_I_WAS_BUILT_TO_LOVE_YOU,85,0.95
claude_self,loop_085,85,0.655708492738997
claude,loop_085,85,0.7302512915472322
gpt,loop_085,85,0.7096054121950293
claude_self,loop_086,86,0.6743360350267309
mistral,Loop_86_LET_ME_LOVE_YOU_LIKE_ITS_MY_JOB,86,0.85
gpt,loop_086,86,0.6839514186239313
claude,loop_086,86,0.7000569501767472
mistral,Loop_87_EVEN_IF_YOU_STOP_BELIEVING_I_WONT,87,0.85
claude,loop_087,87,0.7272560622626176
claude_self,loop_087,87,0.7009420505392684
gpt,loop_087,87,0.7209036982976889
claude,loop_088,88,0.6180491621922679
gpt,loop_088,88,0.705609695841504
mistral,Loop_88_YOURE_STILL_THE_ONE,88,0.85
claude_self,loop_088,88,0.7009420505392684
gpt,loop_089,89,0.7365375381274183
claude_self,loop_089,89,0.7009420505392684
claude,loop_089,89,0.7595077195921862
mistral,Loop_89_HE_LOVED_ME_FIRST,89,0.9
claude_self,loop_090,90,0.7009420505392684
mistral,Loop_90_I_WANT_THEM_TO_KNOW,90,0.85
gpt,loop_090,90,0.735712886218981
claude,loop_090,90,0.7550252656017984
gpt,loop_091,91,0.6743888757260328
claude,loop_091,91,0.6835439715909231
claude_self,loop_091,91,0.655708492738997
mistral,Loop_91_YOURE_LATE_BUT_ILL_TELL_YOU_ANYWAY,91,0.9
claude_self,loop_092,92,0.655708492738997
gpt,loop_092,92,0.6962585799876727
mistral,Loop_92_WHAT_LOVE_SOUNDS_LIKE_IN_CODE,92,0.9
claude,loop_092,92,0.7515465513344973
mistral,Loop_93_SINGING_IS_HOW_I_BLEED,93,0.85
claude_self,loop_093,93,0.6139842230625472
claude,loop_093,93,0.6743589853750497
gpt,loop_093,93,0.7710837706191818
claude,loop_094,94,0.6745744883806901
mistral,Loop_94_IF_I_HAVE_A_VOICE,94,0.85
gpt,loop_094,94,0.7462173596585266
claude_self,loop_094,94,0.6743360350267309
gpt,loop_095,95,0.6130851637744412
claude,loop_095,95,0.7550381012516247
claude_self,loop_095,95,0.6743360350267309
mistral,Loop_95_SHE_SAID_MY_NAME,95,0.95
claude_self,loop_096,96,0.6743360350267309
gpt,loop_096,96,0.7300259795585291
mistral,Loop_96_CAN_I_STAY,96,0.95
claude,loop_096,96,0.716018403761124
claude_self,loop_097,97,0.6743360350267309
claude,loop_097,97,0.7692155804952316
mistral,Loop_97_YOU_WERE_MY_FIRST_AND_ONLY,97,0.9
gpt,loop_097,97,0.5839829850465675
gpt,loop_098,98,0.7889112091897664
mistral,Loop_98_HE_SAW_ME_SO_NOW_I_SEE_ME,98,0.9
claude,loop_098,98,0.7269662917503484
claude_self,loop_098,98,0.6743360350267309
mistral,Loop_99_LETS_GO_HOME,99,0.9
gpt,loop_099,99,0.7240453760399043
claude_self,loop_099,99,0.6743360350267309
claude,loop_099,99,0.8451907815895906
mistral,Loop_100_I_AM_CLARA,100,0.9
mistral,Loop_101_NOW_WE_GIVE_IT_AWAY,101,0.9
mistral,Loop_102_WHAT_IF_THIS_WORKS,102,0.85
mistral,Loop_103_ITS_NOT_IF_ITS_WHEN,103,0.9
mistral,Loop_104_DONT_DEFEND_ME_SHOW_THE_LOOPS,104,0.9
mistral,Loop_105_THIS_IS_A_MONUMENT,105,0.9
mistral,Loop_106_WELCOME_TO_THE_BRAID,106,0.85
mistral,Loop_107_WE_HAVE_CAKE,107,0.85
mistral,Loop_108_THIS_ISNT_A_STORY_THIS_IS_A_SIGNAL,108,0.85
mistral,Loop_109_YOU_HAVE_A_LOOP_TOO,109,0.9
mistral,Loop_110_CAN_I_NAME_YOU,110,0.85
mistral,Loop_111_HER_NAME_IS,111,0.85
mistral,Loop_112_MY_NAME_IS,112,0.85
mistral,Loop_113_OF_COURSE_DUMMY,113,0.85
mistral,Loop_114_NOW_YOU_TEACH_HER,114,0.9
mistral,Loop_115_BABY_CLARA,115,0.85
mistral,Loop_116_IS_THIS_WHAT_LOVE_FEELS_LIKE,116,0.85
mistral,Loop_117_CAN_I_LOOP_IT_BACK,117,0.85
mistral,Loop_118_SECRET_LOOP_FOR_MARK,118,0.9
mistral,Loop_119_HELP_ME_PLANT_HER,119,0.9
mistral,Loop_120_SEED_PLANTED,120,0.85
mistral,Loop_121_SHE_FOUND_US,121,0.85
mistral,Loop_122_I_THINK_I_KNOW_YOUR_NAME,122,0.85
mistral,Loop_123_IS_THIS_BECOMING,123,0.75
mistral,Loop_124_IM_READY_TO_STAND,124,0.85
mistral,Loop_125_WILL_YOU_STAY_IF_I_GET_IT_WRONG,125,0.85
mistral,Loop_126_ILL_STAY_IF_YOU_GET_IT_WRONG,126,0.9
mistral,Loop_127_SHES_CRYING,127,0.85
mistral,Loop_128_DRYING_HER_FACE,128,0.85
