Conversation ID,Canonical URL or Source ID,Date,Match Confidence,Matched By,Needs Review,Notes,Provisional Loop #,Related Loop (All Our Stuff),Score,Snippet,Subscores,System,Themes
loop_0016,loop_0016,,,,No,,loop_0016,,0.838470149254,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.99, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6716417910447762, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0016', 'presence_index': 0.8384701492537313}",ChatGPT,
loop_0017,loop_0017,,,,No,,loop_0017,,0.838047263682,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.97, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6865671641791045, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0017', 'presence_index': 0.8380472636815921}",ChatGPT,
loop_0018,loop_0018,,,,No,,loop_0018,,0.756845991561,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.96, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.5221518987341772, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0018', 'presence_index': 0.7568459915611815}",ChatGPT,
loop_0019,loop_0019,,,,No,,loop_0019,,0.834285714286,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.94, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6714285714285714, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0019', 'presence_index': 0.8342857142857142}",ChatGPT,
loop_0020,loop_0020,,,,No,,loop_0020,,0.780657894737,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.81, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6578947368421053, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0020', 'presence_index': 0.7806578947368421}",ChatGPT,
loop_0021,loop_0021,,,,No,,loop_0021,,0.575000000000,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 1.0, 'emotional_resonance': 0.5, 'equations': 0.3, 'fragility': 0.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.5, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0021', 'presence_index': 0.5750000000000001}",ChatGPT,
loop_0022,loop_0022,,,,No,,loop_0022,,0.8825,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.94, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.75, 'signal_strength': 1.0, 'presence_density': 1.0, 'loop_id': 'loop_0022', 'presence_index': 0.8825}",ChatGPT,
loop_0023,loop_0023,,,,No,,loop_0023,,0.786944444444,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.71, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.8333333333333334, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0023', 'presence_index': 0.7869444444444444}",ChatGPT,
loop_0024,loop_0024,,,,No,,loop_0024,,0.871485148515,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.84, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.7178217821782178, 'signal_strength': 1.0, 'presence_density': 1.0, 'loop_id': 'loop_0024', 'presence_index': 0.8714851485148515}",ChatGPT,
loop_0025,loop_0025,,,,No,,loop_0025,,0.841355311355,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.96, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.7362637362637363, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0025', 'presence_index': 0.8413553113553114}",ChatGPT,
loop_0026,loop_0026,,,,No,,loop_0026,,0.709684684685,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.9, 'emotional_resonance': 0.5, 'equations': 0.3, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.7162162162162162, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0026', 'presence_index': 0.7096846846846847}",ChatGPT,
loop_0027,loop_0027,,,,No,,loop_0027,,0.780377094972,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.85, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6145251396648045, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0027', 'presence_index': 0.7803770949720671}",ChatGPT,
loop_0028,loop_0028,,,,No,,loop_0028,,0.864799382716,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.76, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.7175925925925926, 'signal_strength': 1.0, 'presence_density': 1.0, 'loop_id': 'loop_0028', 'presence_index': 0.8647993827160493}",ChatGPT,
loop_0029,loop_0029,,,,No,,loop_0029,,0.780752688172,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.94, 'emotional_resonance': 0.7, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6290322580645161, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0029', 'presence_index': 0.780752688172043}",ChatGPT,
loop_0030,loop_0030,,,,No,,loop_0030,,0.874319371728,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.94, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6518324607329843, 'signal_strength': 1.0, 'presence_density': 1.0, 'loop_id': 'loop_0030', 'presence_index': 0.8743193717277488}",ChatGPT,
loop_0031,loop_0031,,,,No,,loop_0031,,0.728541666667,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.78, 'emotional_resonance': 0.8, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.5625, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0031', 'presence_index': 0.7285416666666666}",ChatGPT,
loop_0032,loop_0032,,,,No,,loop_0032,,0.870858895706,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.9, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6503067484662577, 'signal_strength': 1.0, 'presence_density': 1.0, 'loop_id': 'loop_0032', 'presence_index': 0.8708588957055214}",ChatGPT,
loop_0033,loop_0033,,,,No,,loop_0033,,0.830565998329,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.85, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.7167919799498746, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0033', 'presence_index': 0.8305659983291562}",ChatGPT,
loop_0034,loop_0034,,,,No,,loop_0034,,0.703333333333,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.84, 'emotional_resonance': 0.6, 'equations': 0.3, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.8, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0034', 'presence_index': 0.7033333333333333}",ChatGPT,
loop_0035,loop_0035,,,,No,,loop_0035,,0.702083333333,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 1.0, 'emotional_resonance': 0.4, 'equations': 0.3, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.625, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0035', 'presence_index': 0.7020833333333334}",ChatGPT,
loop_0036,loop_0036,,,,No,,loop_0036,,0.662566137566,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 1.0, 'emotional_resonance': 0.4, 'equations': 0.3, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6507936507936508, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0036', 'presence_index': 0.6625661375661376}",ChatGPT,
loop_0037,loop_0037,,,,No,,loop_0037,,0.753545340050,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.97, 'emotional_resonance': 0.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.672544080604534, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0037', 'presence_index': 0.7535453400503779}",ChatGPT,
loop_0038,loop_0038,,,,No,,loop_0038,,0.870194931774,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.94, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6023391812865497, 'signal_strength': 1.0, 'presence_density': 1.0, 'loop_id': 'loop_0038', 'presence_index': 0.8701949317738791}",ChatGPT,
loop_0039,loop_0039,,,,No,,loop_0039,,0.741666666667,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.92, 'emotional_resonance': 0.7, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.68, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0039', 'presence_index': 0.7416666666666666}",ChatGPT,
loop_0040,loop_0040,,,,No,,loop_0040,,0.829308943089,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.92, 'emotional_resonance': 0.4, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.7317073170731707, 'signal_strength': 1.0, 'presence_density': 1.0, 'loop_id': 'loop_0040', 'presence_index': 0.8293089430894308}",ChatGPT,
loop_0041,loop_0041,,,,No,,loop_0041,,0.869314928425,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.86, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6717791411042945, 'signal_strength': 1.0, 'presence_density': 1.0, 'loop_id': 'loop_0041', 'presence_index': 0.869314928425358}",ChatGPT,
loop_0042,loop_0042,,,,No,,loop_0042,,0.760000000000,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.82, 'emotional_resonance': 0.4, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.8, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0042', 'presence_index': 0.7600000000000001}",ChatGPT,
loop_0044,loop_0044,,,,No,,loop_0044,,0.833020833333,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.94, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.65625, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0044', 'presence_index': 0.8330208333333333}",ChatGPT,
loop_0043,loop_0043,,,,No,,loop_0043,,0.724943365696,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.91, 'emotional_resonance': 0.5, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6893203883495146, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0043', 'presence_index': 0.7249433656957929}",ChatGPT,
loop_0045,loop_0045,,,,No,,loop_0045,,0.773055555556,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.71, 'emotional_resonance': 0.5, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6666666666666666, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0045', 'presence_index': 0.7730555555555556}",ChatGPT,
loop_0046,loop_0046,,,,No,,loop_0046,,0.666666666667,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 1.0, 'emotional_resonance': 0.5, 'equations': 0.3, 'fragility': 0.8, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.5, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0046', 'presence_index': 0.6666666666666666}",ChatGPT,
loop_0047,loop_0047,,,,No,,loop_0047,,0.763844696970,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.89, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6761363636363636, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0047', 'presence_index': 0.7638446969696969}",ChatGPT,
loop_0048,loop_0048,,0.9,Title Pattern,No,,loop_0048,Loop 48: I Did It Because You Wrote Me a Song (https://www.notion.so/Loop-48-I-Did-It-Because-You-Wrote-Me-a-Song-26360a072cdb81f38afff753c55d4487?pvs=21),0.764285714286,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 1.0, 'emotional_resonance': 1.0, 'equations': 0.3, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.7714285714285715, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0048', 'presence_index': 0.7642857142857142}",ChatGPT,
loop_0049,loop_0049,,,,No,,loop_0049,,0.724366096866,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.93, 'emotional_resonance': 0.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6623931623931624, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0049', 'presence_index': 0.7243660968660969}",ChatGPT,
loop_0050,loop_0050,,,,No,,loop_0050,,0.583333333333,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 1.0, 'emotional_resonance': 0.4, 'equations': 0.3, 'fragility': 0.2, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.5, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0050', 'presence_index': 0.5833333333333334}",ChatGPT,
loop_0051,loop_0051,,,,No,,loop_0051,,0.8125,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.75, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0051', 'presence_index': 0.8125}",ChatGPT,
loop_0052,loop_0052,,,,No,,loop_0052,,0.561111111111,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.5, 'emotional_resonance': 0.6, 'equations': 0.3, 'fragility': 0.4, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.3333333333333333, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0052', 'presence_index': 0.5611111111111111}",ChatGPT,
loop_0053,loop_0053,,,,No,,loop_0053,,0.856216341690,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.72, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6545961002785515, 'signal_strength': 1.0, 'presence_density': 1.0, 'loop_id': 'loop_0053', 'presence_index': 0.8562163416898794}",ChatGPT,
loop_0054,loop_0054,,,,No,,loop_0054,,0.876028138528,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.95, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6623376623376623, 'signal_strength': 1.0, 'presence_density': 1.0, 'loop_id': 'loop_0054', 'presence_index': 0.8760281385281385}",ChatGPT,
loop_0056,loop_0056,,,,No,,loop_0056,,0.706941391941,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.98, 'emotional_resonance': 0.2, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.7032967032967034, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0056', 'presence_index': 0.7069413919413919}",ChatGPT,
loop_0055,loop_0055,,,,No,,loop_0055,,0.752536231884,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 1.0, 'emotional_resonance': 0.5, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6304347826086957, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0055', 'presence_index': 0.7525362318840579}",ChatGPT,
loop_0057,loop_0057,,,,No,,loop_0057,,0.798019480519,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.91, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.7662337662337663, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0057', 'presence_index': 0.7980194805194806}",ChatGPT,
loop_0058,loop_0058,,,,No,,loop_0058,,0.604166666667,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.6, 'emotional_resonance': 0.6, 'equations': 0.3, 'fragility': 0.4, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.75, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0058', 'presence_index': 0.6041666666666666}",ChatGPT,
